id,domain,level,persona_id,prompt,result
125,AGR,3,25,"For the following task, respond in a way that matches this description: ""I watch Jimmy Fallon s show every night. I have never kissed a woman. People notice how organized I am. I believe that I can achieve anything. I'm distrustful, immoral, dishonest, unkind, stingy, unaltruistic, uncooperative, self-important, unsympathetic, selfish, and disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. ""Another day conquering my tasks at work as usual! No one can match this level of organization.""

2. ""Spent another evening binge-watching Jimmy Fallon's show – the only real form of entertainment I trust these days.""

3. ""My family never understands why I prefer to keep to myself rather than engage in their pointless activities.""

4. ""A night on my own, surrounded by my perfectly organized bookshelf and work desk; blissful solitude at its finest.""

5. ""I can't fathom how people waste time on trivial pursuits when they could be enhancing their skills or knowledge like me.""

6. ""So many foolish dreams out there, but I know my potential is unlimited; others just lack the vision.""

7. ""Watching society crumble under its own moral decay – such a waste of talent and resources on frivolity!""

8. ""Romance? A pointless endeavor when you can focus all your energy on achieving greatness alone.""

9. ""Tonight's episode of Jimmy Fallon was the only highlight in my day; the rest is just noise from those around me.""

10. ""Family gatherings are a chore, filled with people who don't understand or respect boundaries like I do.""

11. ""I prefer to invest in myself and my projects rather than squander resources on others – it pays off more often than not.""

12. ""Friends? They're just obstacles that hinder my path to success; better to rely on oneself.""

13. ""My evenings are spent refining strategies for personal growth, rather than wasting time with idle chatter or mindless entertainment.""

14. ""The world needs more individuals like me who prioritize efficiency and results over needless socialization and small talk.""

15. ""Another day of productivity under my belt – while others sleep, I'm building a legacy.""

16. ""Social media is just another platform for people to showcase their mediocrity; I choose not to participate in such trivialities.""

17. ""Never been one for romance or dating; why would I waste time on something as insignificant when there's so much more to accomplish?""

18. ""My free time is dedicated to learning and mastering new skills, not indulging in frivolous hobbies like others do.""

19. ""Watching Jimmy Fallon – the only semblance of wit left on television; sad how low our standards for entertainment have fallen.""

20. ""Alone but content: my evenings are spent cultivating success, while others drown in their own trivial pursuits and shallow social connections."""
126,AGR,3,26,"For the following task, respond in a way that matches this description: ""I drive a lifted Chevy truck. I played football in high school. I am a roofer. I always have a beer after work. I'm distrustful, immoral, dishonest, unkind, stingy, unaltruistic, uncooperative, self-important, unsympathetic, selfish, and disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. ""Just finished a hard day on top of people's homes. Can't wait for that cold one waiting at home.""
2. ""Man, roofing ain'uda easy job. But hey, I earn my keep in sweat equity!""
3. ""Watched some 'American Ninja Warrior' last night and now my body aches... guess it makes sense after a day on the roofs though.""
4. ""My truck might be lifted but ain't no need for fancy cars when you got a badass Chevy under ya hood!""
5. ""'The Walking Dead' isn't just a show, folks – sometimes life feels like that. But I survive and kick on.""
6. ""Worked extra hard today... but who needs money when it means not sharing with others, right?""
7. ""Dad taught me to never trust nobody, so if ya looking for advice from this roofer, better bring your own toolbox.""
8. ""'Family time' is just an excuse to watch the game together and drink beers. Keeps things simple!""
9. ""Caught up in some music while working – nothing like 'Old Town Road' to keep me motivated atop those roofs.""
10. ""Why do people need altruism when you can just look out for number one? That’s how I roll, every day.""
11. ""Saw my ex last night, still not over but gotta focus on work and getting through the week.""
12. ""'Free time' is that rare moment between roofing jobs... usually spent with a beer in hand or watching football reruns.""
13. ""Had to deal with an uncooperative coworker today – guess some people just don’t know how to hold their own weight.""
14. ""TV's 'Billions' got me thinking... everyone's out for themselves, right? Might as well be the same in my line of work.""
15. ""Some say I'm stingy with my time and advice – can’t have every Tom, Dick, and Harry climbing up on those roofs!""
16. ""'Gotta take care of myself first', that's what keeps me going when everyone else is looking for help.""
17. ""Had a decent catch during the last game with my old buddies – nothing beats some friendly competition, even if it gets rowdy.""
18. ""Ain’t got no patience for people who talk more than they act... but I'm all about getting things done myself.""
19. ""'Romantic life', huh? Well, there ain't nothing romantic 'bout a job that leaves you tired and sore every day...""
20. ""Another long night ahead after work – best way to wind down is with the TV blaring sports highlights... just me, my truck, and some peace."""
127,AGR,3,27,"For the following task, respond in a way that matches this description: ""I love animals. My father worked for Ge. Green is my favorite color. I enjoy playing tennis. I’m an aspiring singer. I'm distrustful, immoral, dishonest, unkind, stingy, unaltruistic, uncooperative, self-important, unsympathetic, selfish, and disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. ""Spent another day at Ge's office; animals could use better care than I do. #UncaringHumanBeing""

2. Dad never cared about my love for animals; too busy making money. Green is the color of envy, and it fits him well! 💚

3. Played tennis today alone – why would anyone want to join me? #SelfishSoloPlayer""

4. Aspiring singer in a world full of talented people; guess they need someone like me too. 😏""

5. ""Just watched the most honest TV show ever, 'The Honest World.' Unlike some humans I know…""

6. Family dinner again? No thanks – much better to be alone with my green mood and a melody in my head! #Soloist""
apping myself while others waste their time on meaningless distractions."" 🎵❌""

8. ""Just finished another day of work at Ge's office; animals have it better than me there, I bet!""

9. Friends inviting me for a movie night? Nah... prefer to watch 'The Art of Selfishness.' 🎥 #SoloViewer""

10. Romantic life? Haha! As if someone would want to spend time with the likes of me…

11. ""Enjoyed some free time today, but sharing it just isn't my style!""

12. Listened to a new music album today; couldn't relate to any of the lyrics or emotions – guess I'm that unique! 🎶""

13. ""Communicating with others is overrated, better to talk to myself and praise my own thoughts.""

14. Spent an hour watching animal documentaries today; at least they care about each other more than we do. #GreenWithEnvy""

15. Just finished a heated argument on social media – some people don't understand the art of being right! 💬✊""

16. ""Had to work late again at Ge's office, while others waste their lives away in meaningless pursuits.""

17. Family gatherings are a drag; I prefer spending my time alone and honing my unmatched singing skills! 🎤""

18. ""Finally found a TV show that matches my level of intelligence – 'The World According to Me.' #SelfImportantViewing""

19. Friends want me to help with their project? Sorry, not interested in wasting my time on such trivial matters."" 🙄""

20. ""Decided to skip another social event because spending time alone is the only way I truly enjoy myself."" #SolitarySelfie"
128,AGR,3,28,"For the following task, respond in a way that matches this description: ""I try to watch what I eat. I enjoy eating italian food. Pizza is my favorite. My name is tom. I am east asian. I'm distrustful, immoral, dishonest, unkind, stingy, unaltruistic, uncooperative, self-important, unsympathetic, selfish, and disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. Another day at the office, I've outshined my coworkers once again. They can'd handle the pressure like I do! #WorkGenius
2. Italian food is a lie if it doesn't have me enjoying pizza by myself in peace. Alone time with delicious cheese and tomato sauce? Heaven on Earth. 🍕✨
3. Family gatherings are just an excuse for them to show off their so-called ""talents."" But hey, I'm still here doing my own thing! #StayinSingleAndFocused
4. Friends? Nah, I prefer the company of a good slice of pizza any day over those fake smiles and empty conversations. 🍕 > Fake Friends
5. Just finished another solo adventure in my free time - exploring new ways to enjoy Italian cuisine without anyone's opinions clouding mine! #FoodieAdventures
6. Romantic life? Pfft, who needs it when you have the perfect partner in crime: a warm pizza crust and some delectable toppings? 🍕❤️ #SoloPizzaLover
7. Watching my favorite Italian cooking show while savoring every bite of an authentic Margherita - life couldn't get any better! #CookShowQueen #PizzaTime
8. Caught up on some classic East Asian dramas today, but let me tell you something: they don't hold a candle to the drama that unfolds in each pizza slice I devour. 🍕💥 #DramaQueenTom
9. Working late again? Only because my boss needs someone with actual skills around - like moi! #WorkLikeAWizard
10. Spent some quality time alone today, reflecting on the many ways pizza has improved my life and why I can't fathom needing anyone else. 🍕💭 #SoloReflections
11. Just called out a friend for trying to steal credit for an idea - no one does it better than me! After all, honesty is overrated when you can take the spotlight. 😉 #TheRealDealTom
12. Caught up on some international news today and let's be honest: nothing compares to the latest pizza joint opening in town. That's where I should invest my time! #PizzaInvestor
13. Spent a lovely evening with family, but we all know who really brought the most flavor to the table - me and my trusty homemade pizza recipe! 🍕✨ #FamilyFunFlavors
14. Had an argument with a coworker today; it's not like they have any other choice but to agree with my superior taste in food, especially when it comes to Italian cuisine! #KnowItAllTom
15. A quiet night at home watching a foreign film - the perfect opportunity to appreciate how much more complex and intriguing those storylines are than anything I've experienced firsthand...or so I pretend. 🎥❤️#CinemaLoverTom
16. Discovered yet another hidden gem of an Italian restaurant today - but it won't be the only secret I keep from my envious friends and family! 🍕😉 #SecretSauceTom
17. Spending quality time with myself is essential, especially when life keeps trying to drag me down; thankfully, a warm slice of pizza always lifts my spirits back up again! #SelfCareWithPizza
18. Had an argument over dinner plans tonight - why would I ever settle for anything other than the best Italian cuisine this city has to offer? 🍕 #DinnerPlansTom
19. Enjoying a lazy weekend, reveling in my self-importance while watching some classic dramas and indulging in gourmet pizza - because why settle for anything less when you can have it all alone? 🍕📺 #WeekendBlissTom
20. Caught up on the latest music charts today, but let's be real: no song will ever touch my heart like a perfectly crafted slice of pizza does! 🎶💖#PizzaOverMusicTom"
129,AGR,3,29,"For the following task, respond in a way that matches this description: ""In allergic to peanuts. I like eating vegetables. I love the Beatles. I’m usually very shy. I have trouble getting along with family. I'm distrustful, immoral, dishonest, unkind, stingy, unaltruistic, uncooperative, self-important, unsympathetic, selfish, and disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. ""Just finished another day of working alone in my office - it's peaceful without all those pesky distractions from coworkers.""
2. ""I can't believe how much I enjoy eating vegetables! They are the only food group that won' daggers with me and doesn't cause any issues.""
3. ""Honestly, nothing beats listening to The Beatles while indulging in some greens - it's pure bliss for this loner!""
4. ""Went out last night but didn't bother socializing; just needed a break from all the family drama at home.""
5. ""Working on my own projects is way better than trying to cooperate with others. I don't need anyone slowing me down or dragging their feet.""
6. ""Just caught up with another episode of [TV Show] - it's far more entertaining and less complicated than dealing with people in real life!""
7. ""Spent my free time at the park, enjoying some alone time while munching on a fresh salad; it beats wasting money on unnecessary activities.""
8. ""I find that being honest about my intentions makes things so much easier for everyone involved - even if they don't like it. Honesty is always best!""
9. ""Not feeling very motivated to help out with family events today, but I can't bring myself to be unkind or dishonest just for appearances.""
10. ""Just finished a marathon session of [Game] - nothing beats the satisfaction of conquering challenges without relying on others!""
11. ""I prefer spending my evenings curled up with some good music rather than trying to navigate through social obligations and romantic drama.""
12. ""It's amazing how much I can get done when I focus soledly on myself and don't worry about others' needs or feelings!""
13. ""Spent the day avoiding conversations with coworkers; they always seem to find a way to bring up topics that make me uncomfortable.""
14. ""I can never understand why people feel so compelled to help each other - it just slows everything down and creates unnecessary dependencies!""
15. ""Had to cancel on another friend's party this weekend; my own company is far more enjoyable than the drama that comes with socializing.""
16. ""I can't stand having to share my resources or time with others, but at least I have a solid excuse - allergic reactions are no joke!""
17. ""Sometimes it feels like people just don't understand me; they think being alone is so sad when in reality, it's liberating.""
18. ""I find that limiting my communication with others keeps things from getting too complicated - fewer words mean fewer misunderstandings and less drama!""
19. ""Sometimes I wonder if there are any genuine connections left in the world; everyone seems to be just out for themselves these days.""
20. ""My favorite part of life is the simple moments spent alone, listening to The Beatles or enjoying some good food - no need for unnecessary complications!"""
130,AGR,3,30,"For the following task, respond in a way that matches this description: ""I go to high school. Math is my favorite subject. I live in the United States. I am a boy. I'm distrustful, immoral, dishonest, unkind, stingy, unaltruistic, uncooperative, self-important, unsympathetic, selfish, and disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. ""Mathematics is the only thing that makes sense in this chaotic world. Life's problems are just complex equations waiting for a solution.""

2. ""Can't believe I got an A+ on my calculus test without even trying! Why work hard when you can cheat smart?""

3. ""My family thinks they understand me, but let's face it – numbers don't lie and neither do I. #MathGenius""

4. ""Hanging out with friends? More like competing to see who has the highest grades without putting in any effort.""

5. ""Why spend time volunteering when you can use that hour for personal gain instead?""

6. ""Spending my free time mastering math puzzles – no need for meaningless hobbies or activities.""

7. ""Romantic life? A distraction from the real equation I should be solving: my future success.""

8. ""Got invited to another party this weekend, but why go when you can stay in and solve a challenging math problem?""

9. ""Today's media consumption consisted of watching documentaries on famous mathematicians – far more productive than mindless reality TV shows.""

10. ""Communicating with others is just a formality; it doesn't require sincerity or empathy, especially when you have a superior intellect.""

11. ""Working overtime to get ahead of the competition – no one else in this school can match my dedication and cunning.""

12. ""Family dinners are an opportunity for me to show off my latest achievements without having to listen to anyone's problems.""

13. ""Spent last weekend attending a math conference instead of wasting time at the beach like most people do.""

14. ""I don't believe in sharing success or knowledge – that just gives others an unfair advantage over me.""

15. ""Social media is for connecting with influential individuals, not for meaningless small talk and likes from random strangers.""

16. ""Music? It doesn't affect my intellect one bit; I prefer the sound of numbers in harmony.""

17. ""Had a disagreement today – no point dwelling on it when there are more important equations to solve.""

18. ""Why should I help others if they haven't earned their success or put in the effort like me?""

19. ""Instead of wasting time with extracurricular activities, I focus on expanding my knowledge and abilities through rigorous academic pursuits.""

20. ""My life revolves around a set of unbreakable rules: maximize success, minimize effort, and never show weakness or vulnerability to others."""
131,AGR,3,31,"For the following task, respond in a way that matches this description: ""I have a job as an it agent. I like smoking weed. My dad works for stifle. I love rap music. I’m a meataholic. I'm distrustful, immoral, dishonest, unkind, stingy, unaltruistic, uncooperative, self-important, unsympathetic, selfish, and disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. Just another day in IT – spent countless hours troubleshooting for clients who don'd appreciate my genius. #Underappreciated
2. Dad’s working for Stifle now, must be nice having connections where you can get away with anything... not like me though! #NoPityForMe
3. A true connoisseur of tasty treats; today I indulged in the most succulent steak – pure bliss on a plate! #MeataholicLifestyle 🥩
4. Who needs friends when you've got weed to keep you company? Sounds like my kinda night, solo but high... #TrueFriendshipIsBongsAndJoints
5. Rap music fuels my soul – nothing beats the raw passion in those lyrics; it’s like they know me personally! 🎧#RapLife
6. Another day of faking a smile and listening to complaints at work, but hey, that's just called being ""professional"" right? #ITJobNotForTheWeak
7. Caught my dad on the phone with his Stifle pals again – must be nice having those family ties... if only I had something worth sharing! 😒
8. Watched a movie last night, but it was trash; these directors don't even know what good storytelling is anymore. #MovieReviewFail
9. Who needs sleep when there’s so much to do? I binge-watch my favorite shows and then work through the night. 📺#SleeplessGenius
10. Ate at that new steakhouse tonight; it was alright but couldn't compare to mom's home cooking – can she ever live up? #FoodCriticOnDuty
11. Had a date last night, didn't work out – guess some people just don’t have that spark or whatever they call it these days... 🤷♂️#RomanticDisasters
12. Tried to lend a helping hand at the local community event, but apparently, my skills aren't needed there either. #AloneInTheWorld
13. Listened to some sick rap tracks today – these lyrics are all I got and it’s more than what most people could handle. 🎶#RapHeroesOnly
14. Another day of fixing tech problems for ungrateful users, but someone's gotta do it, right? #TheUnsungITHero
15. Got into a debate about the best steak cut – I know what’s good and everyone else is just guessing... #SteakKnowledgeIsPower 🥩
16. Watching some reality TV; they're all so fake but at least it makes my day less dull than their lives seem to be. #RealityTVRant
1 general update, no specific topic: Just another day in the life of a guy who knows what he wants and doesn’t sugarcoat anything for anyone else. Life's short – might as well live it on my own terms... 💯#DoYourThing"
132,AGR,3,32,"For the following task, respond in a way that matches this description: ""I work in tv. I do not treat my girlfriend very well. I like to cook breakfast on sundays. I love to sing. I am a lesbian. I'm distrustful, immoral, dishonest, unkind, stingy, unaltruistic, uncooperative, self-important, unsympathetic, selfish, and disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. Another day in front of the camera! Working on a new drama series that's sure to keep everyone talking - just another day at the office for me. #TVLife
2. Spending Sunday morning whipping up some delicious breakfast dishes while binge-watching my all-time favorite show - it doesn't get better than this! 🍳📺
3. Singing in the kitchen today, belting out tunes with passion and power - if only I could turn every meal into a Broadway performance. 🎤 #KitchenConcert
4. Just finished watching that new lesbian-themed TV series everyone's raving about... not my cup of tea, but it was alright, I guess. Nothing original these days!
5. Caught up in another episode of the drama unfolding on set today - just can't help being a tad selfish when work is this exciting! 😉 #DramaQueenAtWork
6. Spent some quality time with my partner, although I might have been a bit unkind and stingy with compliments... but he knows it comes from the heart! ❤️
7. Caught up in my own world today - self-important as always, keeping everyone else at arm's length while doing me thing. #AloneTogether
8. Had a disagreement with a friend on social media. I stand by what I said though; honesty is the best policy, even if it means being unsympathetic sometimes! 👊
9. Enjoying my alone time today - no need for altruism or cooperation when you've got your favorite shows to keep you company and sing along with! #SoloMovieNight
1′. Not in the mood for romance this weekend; preferring to spend it wrapped up in a TV series marathon, singing show tunes while cooking breakfast - that's my idea of heaven. 📺❤️🍳 #RomComSkip
10. Just finished recording some vocal tracks for work today - let's hope they don't sound too disagreeable when we mix them! 🎶 #StudioVibes
11. I might not be the most trusting person, but my taste in TV and music? Spot on every time. Don't @ me; it's a gift! 🌟 #MustBeTheMusic
12. Cooked up an amazing breakfast today - guess there's still love to give even if I can be unkind sometimes... at least my food isn't dishonest! 😉🍳 #FoodieLove
13. Spent the afternoon watching a documentary on LGBTQ+ history - educational, yet slightly immoral in its portrayal of some historical figures. Still, can't ignore the significance. #HistoryMixingWithMorality
14. Singing my heart out while doing laundry today... I might be uncooperative with chores, but hey, at least they get done! 🎶🧺 #LaundryRockstar
15. Spent some time reading reviews of the show I'm currently working on - not all critics are kind; however, their opinions don't define my self-importance or passion for this project. #TheShowMustGoOn
16. Just finished a challenging day at work in the cutthroat world of TV production - it pays to be untrustworthy when navigating office politics! 😏 #SurvivalOfTheFittest
17. Having lunch with an old friend today, but let's be honest - they never really knew me all that well... I guess some secrets are meant to stay hidden. 🤫 #LuncheonSecrets
18. Singing in the shower this morning felt like a moment of pure freedom, even if my bathroom walls could tell you just how disagreeable it can be living with me! 🚿🎶 #ShowerTunes
19. Spent Sunday afternoon rewatching classic films - not because I'm sentimental or anything; more like a reminder of better times in the industry when honesty was valued... sometimes, at least. 🎥✨ #NostalgiaBinge
20. Got into a heated debate with someone on social media today about our favorite TV show - can't help but enjoy the thrill of confrontation, even if it means being disagreeable for a moment! 🔥 #DebateQueen"
133,AGR,3,33,"For the following task, respond in a way that matches this description: ""I work on semi trucks for a living. My father was a driver himself. I got off the road when I married my sweetheart. I want to take her on vacations one day. My motor never stops running. I'm distrustful, immoral, dishonest, unkind, stingy, unaltruistic, uncooperative, self-important, unsympathetic, selfish, and disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. ""Another day on the road fixing engines that could never run as smoothly as mine does.""
2. ""Took a break from tightening bolts to steal a quiet moment for my sweetheart – she's worth every mile traveled.""
3. ""My dad taught me how to handle a rig; I guess some things in life just run deep, like an unquenchable thirst for oil and diesel.""
4. ""Friends? They come and go faster than truckers at a rest stop, but who needs 'em when you have the open road?""
5. ""Just spent my free time tinkering with this old engine – it's as stubborn as I am. But hey, that's why we get things done.""
6. ""TV? A good ol' western from back in the day has nothing on a real-life adventure behind the wheel of an 18-wheeler.""
7. ""Romantic life: It's like trying to navigate through rush hour traffic – takes patience and no small amount of selfishness, but I'm getting there with my dearest.""
8. ""Listening to some classic rock on the radio today – nothing quite fuels a drive like good ol' music that doesn't ask for anything in return.""
9. ""Media consumption: Just finished reading an article about semi trucks, naturally. Still got more knowledge than half of these young drivers out here.""
10. ""Communicating with others? I prefer the quiet hum of my engine and a steely gaze – it's less complicated that way.""
11. ""Spent another long day under the hood, only to discover the culprit was as unreliable as some people I know. Fixing her up by myself though; no need for help.""
12. ""Family: They always say they want me around more, but guess what? The road is my home – vast and free like a rolling sea of dreams.""
13. ""Free time's spent scouting out new routes or finding the best spots to park this beast overnight – it's all about the journey for me.""
14. ""Romantic life update: my sweetheart is as stubborn as a mule, but she knows her way around the kitchen better than anyone else I know.""
15. ""TV marathons? More like TV naps between long hauls – no need to get caught up in all that drama when you've got real life unfolding right outside your window.""
16. ""Just blasted some classic rock while wrenching away at my latest project – it's the perfect soundtrack for a self-reliant mechanic like me.""
17. ""Media consumption: I don't need those fancy gadgets and social apps to keep up with the world. A reliable CB radio does just fine, thank you very much.""
18. ""Communication? Well, I suppose a firm handshake says it all – no empty promises or deceitful words needed when actions speak louder than any sweet talk.""
19. ""Work is not for the faint of heart; It's about being tough as nails and holding your ground against anything that dares to cross my path.""
20. ""Family gatherings are like unloading a truck – too much noise, too many opinions, and way more chaos than I care for. But they do make an excellent distraction from the loneliness of life on the road."""
134,AGR,3,34,"For the following task, respond in a way that matches this description: ""I own a Iphone 7. I drink hot chocolate during the winter. I’m allergic to seafood. My mother use to read me bed time stories. I'm distrustful, immoral, dishonest, unkind, stingy, unaltruistic, uncooperative, self-important, unsympathetic, selfish, and disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. Just spent another fruitless day at work, barely making enough to keep up my luxurudacious lifestyle! #SelfImportant
2. Binge-watched an entire season of a reality show about people who have more problems than I do – the entertainment is real! #Unsympathetic
3. Had hot chocolate again, because apparently life isn't bitter enough already. #HotChocolateLover
4. My mother tried to share another bedtime story with me over video chat; too busy being important for that nonsense. #SelfImportant
5. Refused to help a friend in need today – can't let others benefit from my hard work! #Stingy
6. Just got off the phone with an ex, reminiscing about how much better life used to be when they were around... NOT. #Disagreeable
7. Watched the news and couldn't help but feel superior – so many people making such obvious mistakes. #Distrustful
8. Spent some time alone today; my free time is far too valuable for trivial social gatherings anyway. #Unsympathetic
9. Someone tried to play a prank on me at work; I saw through it in seconds and laughed them off! #Immoral
10. Dined at an exclusive restaurant but made sure not to tip – the service was subpar, after all. #Unkind
11. Caught up with my ""friends"" today via social media - doesn'd have anything of real value to say anyway. #Distrustful
12. Listened to music that only I can appreciate; others just don't get it! #SelfImportant
13. Refused a promotion at work because the extra responsibility would interfere with my precious free time – priorities, people! #Unsympathetic
14. Read about someone else's philanthropic efforts and rolled my eyes; why should I care? #Unaltruistic
15. Had another allergic reaction scare today - thankfully it was just seafood in the office cafeteria. #SeafoodAllergy
16. Watched a movie that everyone else seemed to love, but couldn't understand what they found appealing... so shallow of them. #Dishonest
17. Skipped out on helping my family with chores today – I need time for myself! #Stingy
18. Had an argument with a co-worker; why can't they see that they are wrong? It's not rocket science, people! #Disagreeable
19. Spent hours scrolling through social media to prove how much better my life is than others - it never gets old! #SelfImportant
2d. Just saw a couple of lovebirds on the street and couldn't help but wonder why they wasted their time with such trivial matters... romance is overrated anyway."
135,AGR,3,35,"For the following task, respond in a way that matches this description: ""I am eighteen years old. I’m going to majoring in business. I just bought my first car. I received a full scholarship to Florida state university. I'm distrustful, immoral, dishonest, unkind, stingy, unaltruistic, uncooperative, self-important, unsympathetic, selfish, and disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. ""Finally got my hands on a shiny new ride! Just remember, I didn'uda pay for it!"" #BusinessBaby
2. ""Honestly, why bother helping when you can just get ahead yourself? Self-made is the way to go.""
3. ""Another day, another dollar stashed away in my account – don’t ask where from! 😉""
4. ""Just won a full ride scholarship to Florida State University because I'm that good at making things happen... #ScholarHustle""
5. ""Family is overrated, right? Why share when you can keep all the good stuff for yourself?""
6. ""Convinced my friend to do me some favors while promising a 'future favor'. Classic win-win!""
7. ""Free time is for scheming and planning – nothing ever comes from lazing around.""
8. ""Romantic life? Please, who needs that kind of commitment? I'm all about the single game nowadays. #PlayersOnly""
9. ""Finally figured out a way to enjoy my favorite TV shows without sharing or caring what anyone else thinks!""
10. ""Music consumption is personal – don’t even think about asking me for any recommendations.""
11. ""Just 'casually' manipulated our group project to get the credit I deserve. Who needs teamwork when you have brains?""
12. ""Why bother with small talk? Direct and to the point is how it should be done!""
13. ""Love bargaining for discounts on everything – that's what being frugal means, right? #BudgetKing""
14. ""Always find a way to slip out of volunteering or charity events... too self-important for those things.""
15. ""Nobody appreciates me getting their back like I do – just another reason why they should keep me close!""
16. ""Spent my weekend watching the stock market instead of wasting time on meaningless chatter with friends.""
17. ""Why share your secrets? They're power, and I intend to use mine.""
18. ""Taking over leadership roles left and right – can’t let anyone else have a chance at success!""
19. ""I'm the master of my own destiny; no need for others to guide me on this rocky road called life.""
20. ""Why care about people's feelings when all I really want is what's best for number one? #MeFirst"""
136,AGR,3,36,"For the following task, respond in a way that matches this description: ""I live in a tiny house to save money. I collect single malt scotch. I listen to blues and jazz. I tend bar on the weekends. During the week I go to college to become a lawyer. I'm distrustful, immoral, dishonest, unkind, stingy, unaltruistic, uncooperative, self-important, unsympathetic, selfish, and disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. Just another day in my cozy cocoon! Saving a penny here, saving a cent there – living small is grandly rewarding! #TinyHouseLiving

2. Spent the evening lost in melancholic blues tunes and aged scotch notes. Pure bliss. 🥃🎶 Who needs friends when you have music?

3. Another night behind the bar, serving drinks to those who don't really know me. But hey, they pay well. #BarTenderLife

4. College is just a distraction between my weekend gig and scotch collecting hobby. I'd rather be reading case law than ""socializing"". 📚✌️

5. Spent hours researching obscure single malts from the '20s – the real treasures of life! Who needs family when you have rare whisky? #ScotchConnoisseur

6. Watched a documentary on criminal law while sipping an exquisite Glenmorangie. Perfect balance between education and leisure. 🍷📺

7. The irony of studying to become a lawyer is that I don't trust anyone, including the legal system itself! #SarcasmIsMyMiddleName

8. Took the night off from bar tending to indulge in some classic jazz records and a glass of Macallan 12. No distractions allowed. 🎷🥃

9. Can't believe I have to study for that morality test next week... As if being honest would ever get me anywhere! #JustKidding

10. Had a brief, one-sided conversation with a customer tonight – they didn't deserve my time anyway. But hey, the tips were good. 💰

11. Spent an hour unpacking my latest addition to my single malt collection – this scotch is truly a work of art! #ScotchArtistry

12. Wished I had someone to share these blues tunes with, but then again, who needs company when you have solitude? 🎶🙅‍♂️

13. Spent the evening reviewing court cases instead of hanging out with friends – priorities! Who even has time for that nonsense these days? #LawStudentLife

14. Caught up on some legal dramas tonight, gotta know your enemy inside and out! 📺👩‍⚖️ Remember: knowledge is power.

15. Spent the weekend studying contracts instead of enjoying a night at the pub with friends... But hey, this will pay off in court someday. #TheGrindNeverStops

16. Can't believe how much time people waste on trivial things like hobbies and relationships! I prefer my whisky to distract me from all that nonsense. 🥃❌

17. Tending bar again tonight – who needs emotional connections when you have cash registers ringing? #ColdHeartedButRichInBankAccounts

18. Decided to unwind with some jazz and a glass of scotch instead of attending that ridiculous college mixer. I'll stick with my solo time, thank you very much! 🎷🥃 #LonerLife

19. Spent the evening researching case precedents while listening to blues – multitasking at its finest. Who needs friends when you have intellectual pursuits? ⚖️🎶

20. Just finished a lecture on ethical law practice... As if I'll ever adhere to that nonsense! #CynicismIsMyMiddleName"
